,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office,Rated,Metascore,IMDB Rating,IMDB Votes,Rotten Tomatoes
71,71,tt3121604,Duniyadari,Duniyadari,2013,142,Drama,146072,3121604,237214.0,0.01098835817369,390000.0,3,,,7.5,1663.0,
72,72,tt0841027,Magicians,Magicians,2007,90,Comedy,62378,841027,10078.0,0.0110731748913963,,1752038,,,6.0,5675.0,33.0
73,73,tt1314655,Devil,Devil,2010,80,"Horror,Mystery,Thriller",80846,1314655,44040.0,0.0111779566314615,10000000.0,33583175,PG-13,44.0,6.2,139905.0,49.0
74,74,tt0407814,Full Grown Men,Full Grown Men,2006,78,"Comedy,Drama",120568,407814,25149.0,0.0111801695048133,2000000.0,13716,,47.0,5.0,383.0,44.0
75,75,tt1820462,Beremennyy,Beremennyy,2011,84,"Comedy,Fantasy",174601,1820462,75438.0,0.0112547482700586,2000000.0,8000000,,,4.0,3446.0,
76,76,tt0493464,Wanted,Wanted,2008,110,"Action,Crime,Thriller",60072,493464,8909.0,0.0116219321835846,75000000.0,342463063,R,64.0,6.7,374448.0,71.0
77,77,tt0357277,Elektra,Elektra,2005,97,"Action,Adventure,Crime",31221,357277,9947.0,0.011668908892555,43000000.0,56681566,PG-13,34.0,4.7,89793.0,11.0
78,78,tt4809458,The Dirty Dutch,Renesse,2016,77,Comedy,182905,4809458,397582.0,0.0117002614681124,1746706.0,506588,,,5.8,8546.0,
79,79,tt2461520,Man Down,Man Down,2015,90,"Drama,Thriller,War",142110,2461520,296523.0,0.0117437660980515,,167085,R,28.0,6.0,9839.0,16.0
80,80,tt3110960,Jimmy's Hall,Jimmy's Hall,2014,109,"Biography,Drama,History",112890,3110960,262958.0,0.0121108252740549,,4825184,PG-13,63.0,6.7,6174.0,76.0
81,81,tt1212454,An Invisible Sign,An Invisible Sign,2010,96,"Comedy,Drama,Family",88877,1212454,59435.0,0.0122127567226536,,51138,PG-13,23.0,5.4,4177.0,0.0
82,82,tt0120917,The Emperor's New Groove,The Emperor's New Groove,2000,78,"Adventure,Animation,Comedy",4016,120917,11688.0,0.0122782473979754,100000000.0,169327687,G,70.0,7.4,189726.0,86.0
83,83,tt2855648,Madras Cafe,Madras Cafe,2013,130,"Action,Drama,Thriller",135204,2855648,215776.0,0.0123199892140772,5400000.0,6500000,Not Rated,,7.7,23859.0,
84,84,tt1322354,Protéger & servir,Protéger & servir,2010,91,Comedy,150631,1322354,38883.0,0.0125650799819448,,3807808,,,4.3,636.0,
85,85,tt10627720,Ne Zha,Ne Zha zhi mo tong jiang shi,2019,110,"Action,Adventure,Animation",205066,10627720,615453.0,0.0126199524775227,,686067000,Not Rated,54.0,7.5,6897.0,88.0
