tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office
tt4466894,Sahara,Sahara,2017,86,"Adventure,Animation,Comedy",175753,4466894,423453.0,0.009832006594478693,,7800000
tt4520364,Morgan,Morgan,2016,92,"Action,Horror,Sci-Fi",162594,4520364,377264.0,0.009887792776125948,8000000.0,8810591
tt0467197,Max Payne,Max Payne,2008,100,"Action,Crime,Drama",62394,467197,13051.0,0.009965278968669944,35000000.0,85416905
tt1235189,Wild Target,Wild Target,2010,98,"Action,Comedy,Crime",81804,1235189,44147.0,0.010235600513873844,8000000.0,3453043
tt6556670,Serial (Bad) Weddings 2,Qu'est-ce qu'on a encore fait au bon Dieu?,2019,99,"Comedy,Drama",200254,6556670,505436.0,0.010352046108411339,,74769845
tt7967412,Eye for an Eye,Quien a hierro mata,2019,107,"Drama,Thriller",206262,7967412,574376.0,0.010365260416516198,3328289.0,2407571
tt0430912,Basic Instinct 2,Basic Instinct 2,2006,114,"Drama,Mystery,Thriller",44759,430912,3093.0,0.010481178644646483,70000000.0,38629478
tt0390109,I Like Killing Flies,I Like Killing Flies,2004,80,Documentary,111757,390109,51069.0,0.010582795185632876,,14000
tt0859635,Super Troopers 2,Super Troopers 2,2018,100,"Comedy,Crime,Mystery",187067,859635,50022.0,0.010659258594693521,13500000.0,18850674
tt1423995,Stone,Stone,2010,105,"Drama,Thriller",80880,1423995,44113.0,0.010851223889644657,22000000.0,9479718
tt2926810,ABCs of Death 2,ABCs of Death 2,2014,125,"Comedy,Horror",117312,2926810,193726.0,0.01096175211555983,,7171
tt3121604,Duniyadari,Duniyadari,2013,142,Drama,146072,3121604,237214.0,0.010988358173690038,390000.0,3
tt0841027,Magicians,Magicians,2007,90,Comedy,62378,841027,10078.0,0.011073174891396365,,1752038
tt1314655,Devil,Devil,2010,80,"Horror,Mystery,Thriller",80846,1314655,44040.0,0.011177956631461594,10000000.0,33583175
tt0407814,Full Grown Men,Full Grown Men,2006,78,"Comedy,Drama",120568,407814,25149.0,0.011180169504813375,2000000.0,13716
tt1820462,Beremennyy,Beremennyy,2011,84,"Comedy,Fantasy",174601,1820462,75438.0,0.011254748270058679,2000000.0,8000000
tt0493464,Wanted,Wanted,2008,110,"Action,Crime,Thriller",60072,493464,8909.0,0.011621932183584649,75000000.0,342463063
tt0357277,Elektra,Elektra,2005,97,"Action,Adventure,Crime",31221,357277,9947.0,0.011668908892555008,43000000.0,56681566
tt4809458,The Dirty Dutch,Renesse,2016,77,Comedy,182905,4809458,397582.0,0.011700261468112427,1746706.0,506588
tt2461520,Man Down,Man Down,2015,90,"Drama,Thriller,War",142110,2461520,296523.0,0.0117437660980515,,167085
tt3110960,Jimmy's Hall,Jimmy's Hall,2014,109,"Biography,Drama,History",112890,3110960,262958.0,0.012110825274054937,,4825184
tt1212454,An Invisible Sign,An Invisible Sign,2010,96,"Comedy,Drama,Family",88877,1212454,59435.0,0.01221275672265365,,51138
tt0120917,The Emperor's New Groove,The Emperor's New Groove,2000,78,"Adventure,Animation,Comedy",4016,120917,11688.0,0.01227824739797545,100000000.0,169327687
tt2855648,Madras Cafe,Madras Cafe,2013,130,"Action,Drama,Thriller",135204,2855648,215776.0,0.012319989214077287,5400000.0,6500000
tt1322354,Protéger & servir,Protéger & servir,2010,91,Comedy,150631,1322354,38883.0,0.012565079981944893,,3807808
tt10627720,Ne Zha,Ne Zha zhi mo tong jiang shi,2019,110,"Action,Adventure,Animation",205066,10627720,615453.0,0.012619952477522789,,686067000
tt2034031,Laggies,Laggies,2014,99,"Comedy,Drama,Romance",114265,2034031,244264.0,0.012828600872117901,5000000.0,2379154
tt1340107,In a Better World,Hævnen,2010,118,"Drama,Romance",81257,1340107,44716.0,0.01283637034902474,15000000.0,13004198
tt2294677,In a World...,In a World...,2013,93,Comedy,104339,2294677,157360.0,0.013017925809825304,1000000.0,2963902
tt0255819,Baby Boy,Baby Boy,2001,130,"Crime,Drama,Romance",4371,255819,16161.0,0.014693433672401501,16000000.0,29381649
tt1448755,Killer Elite,Killer Elite,2011,116,"Action,Crime,Thriller",89840,1448755,49021.0,0.015043750057820549,66000000.0,57777106
tt3530456,A esmorga,A esmorga,2014,111,Drama,201264,3530456,298780.0,0.015110325691968796,,100
tt0800369,Thor,Thor,2011,115,"Action,Adventure,Fantasy",86332,800369,10195.0,0.015185280941130253,150000000.0,449326618
tt0907678,Edison & Leo,Edison & Leo,2008,79,"Adventure,Animation,Comedy",162796,907678,45097.0,0.015449953751285106,10000000.0,1000000
tt0219854,The Kid,The Kid,2000,104,"Comedy,Family,Fantasy",3784,219854,4244.0,0.015524786749811725,65000000.0,69700000
tt0374569,Che: Part Two,Che: Part Two,2008,135,"Biography,Drama,History",64501,374569,8880.0,0.015684632498175977,40000000.0,8638163
